Year,Ağsu_rayonu,Gəncə_şəhəri,Goranboy_rayonu,Samux_rayonu,Ağcabədi_rayonu,Ağdam_rayonu,Bərdə_rayonu,Füzuli_rayonu,Xocalı_rayonu,Xocavənd_rayonu,Tərtər_rayonu,Cəlilabad_rayonu,Ağdaş_rayonu,Göyçay_rayonu,Kürdəmir_rayonu,Ucar_rayonu,Yevlax_rayonu,Zərdab_rayonu,Beyləqan_rayonu,İmişli_rayonu,Saatlı_rayonu,Sabirabad_rayonu,Cəbrayıl_rayonu,Laçın_rayonu,Biləsuvar_rayonu,Hacıqabul_rayonu,Neftçala_rayonu,Salyan_rayonu
2000,804,0,2812,105,7761,1756,10683,250,12,2,1403,0,1127,401,2885,1640,2261,4835,4687,7205,15166,9347,0,0,8056,512,3599,4233
2001,736,0,3598,130,5560,1101,6396,511,0,0,1773,0,1044,438,2963,2936,2079,4203,5333,7635,12797,7513,0,0,8551,535,4115,3668
2002,571,138,3282,0,7809,1845,7336,800,0,0,3368,0,760,273,2560,2154,1327,3359,5134,6724,11633,6669,0,0,6221,540,4005,3920
2003,1443,63,2511,0,8604,3336,8082,1500,0,0,4554,0,1024,181,3045,1616,1650,2695,7455,7730,18793,7379,0,0,6797,625,6227,4244
2004,2176,71,2045,0,8645,3134,8582,1475,0,0,5832,0,1474,280,2728,1280,1792,3200,8704,10780,34349,13213,0,0,11699,630,7851,5745
2005,2186,74,3225,23,12162,5118,17144,2900,0,0,9789,0,2310,484,3012,1533,3432,4526,14665,18495,36949,18959,0,0,17782,650,12553,8645
2006,1580,71,2360,0,8351,1942,13623,2000,0,0,4668,419,1557,248,1191,1286,1955,1591,9306,11653,28786,10656,55,0,12654,350,7498,6323
2007,1032,0,2211,33,6743,950,7537,1405,0,37,5291,60,913,47,1022,928,2406,1130,6873,11723,20230,7491,80,0,12083,306,5385,4188
2008,641,0,3475,76,2775,311,5353,39,0,0,2889,33,439,13,689,561,1931,812,3176,5382,12274,4573,72,30,6056,301,2012,1495
2009,3,0,1145,71,2645,264,2423,134,0,0,1438,86,72,51,88,477,1500,47,2054,2510,7564,2250,0,50,5430,52,606,938
2010,0,0,1617,60,4148,98,3281,162,0,0,1824,128,100,114,21,503,1990,271,3210,2775,7694,1940,0,0,5678,0,1360,1242
2011,60,0,2917,58,7594,546,5100,638,0,0,3511,465,257,36,266,511,2357,556,3570,4537,11197,3815,0,0,13018,100,3113,2184
2012,92,0,2491,77,5521,342,5221,398,0,17,3066,0,276,65,81,552,2865,485,2589,4212,10302,4053,0,0,11415,0,1259,1578
2013,22,0,1400,72,4043,242,3945,327,0,0,2009,8,175,4,26,391,2637,133,2804,3413,8795,3160,0,0,9474,0,753,1322
2014,0,0,1033,60,2886,147,3237,155,0,0,1978,46,81,0,12,415,2865,282,3876,5456,7474,2676,0,0,5834,0,768,1689
2015,0,0,376,43,2218,71,3292,5,0,0,893,14,25,0,10,16,3327,15,3795,6388,5650,1853,0,0,6362,0,255,584
2016,1031,0,3573,761,8852,833,6925,522,0,0,2334,659,1316,153,2111,299,3677,900,7880,10211,12088,7713,58,0,12062,800,1978,2706
2017,2807,0,6958,47,20497,6179,22402,2131,0,0,8420,1000,3697,0,5001,2338,3417,4191,15726,14655,25754,18170,0,0,24762,1000,9097,9276
2018,1974,0,9147,923,23305,5822,25373,2217,0,0,8197,1447,3756,0,6763,1793,5296,4997,21916,18576,30448,17292,0,0,22732,1172,10090,10356
2019,994,0,7277,0,32099,7316,34190,1629,0,0,11936,1311,0,0,6497,963,6348,5252,29443,19716,41813,25211,0,0,30707,576,16072,15929
2020,1525.0,0,9630.7,173.2,37992.1,7099.5,37295.6,1796.8,0,0,11580.0,1212.4,0,0,5747.2,496.0,8148.9,7687.0,31049.4,23776.8,47365.7,31623.3,0,0,28333.0,791.0,23042.0,20425.9
2021,0,0,7366.5,0,33517.2,6295.8,29689.9,1108.0,0,0,10701.5,0,0,0,6048.7,0,7326.3,7353.5,24861.6,19688.5,38381.1,27396.2,0,0,20903.7,840.0,22871.2,22691.1
2022,0,0,6770.0,0,40424.4,7001.5,35953.6,1065.5,0,0,11253.9,0,0,0,5682.6,0,8571.8,8959.6,28880.1,21139.7,40085.0,35602.3,0,0,17833.0,0,23850.0,29398.0
2023,0,0,4212.7,0,36250.0,4441.2,27467.6,0,0,0,6314.9,0,0,0,4038.9,0,6755.8,7534.2,21606.4,18680.0,38338.1,32992.7,0,0,18539.0,0,22854.1,26285.4
